"study","title","latitude","longitude","methods","habitat","native_species","native_family","native_growth_cycle","invasive_species","invasive_family","invasive_growth_cycle","invasion_phase","MAT","MAP","fraction","source","index","units","depth","M_native","SD_native","N_native","M_invasive","SD_invasive","N_invasive","lnRR","depth_raw"
"R17","Frequent Fire Reduces the Magnitude of Positive Interactions Between an Invasive Grass and Soil Microbes in Temperate Forests","37.32","88.45","field","forest","Ulmusspecies,Acerspecies,Fraxinusspecies,Juglansnigra,Quercusspecies,Caryaspecies,andPlatanusocci-dentalis","hardwood","n/a","Microstegium","Poaceae","n/a","invasive",NA,12800,"MAOC","T2","MAOC","g C m-2","10-15",517,46,40,522,28,40,0.009624713,"10-15"
"R18","Grass Invasions Across a Regional Gradient are Associated with Declines in Belowground Carbon Pools","33.53-35.03","83.21-83.29","field","forest","n/a","n/a","n/a","M.vimineum","herbaceous","annual","invasive",17,12200,"MAOC","F1","MINC","g cm-2","n/a",552,80,36,1168,448,36,0.749500117,"n/a"
"R24","Loss of faster-cycling soil carbon pools following grass invasion across multiple forest sites","33.20-33.89","83.37-83.60","field","forest","Quercussp.","Fagaceae","n/a","M.vimineum","Poaceae","annual","invasive",NA,NA,"MAOC","F1","MAOC","g C m-2","0-10",182.407407407407,22.2222,8,191.666666666666,14.8148,8,0.049518243,"0-10"
"R24","Loss of faster-cycling soil carbon pools following grass invasion across multiple forest sites","33.20-33.89","83.37-83.60","field","forest","CaryacathayensisSarg.","JuglandaceaeDC.exPerleb","n/a","M.vimineum","Poaceae","annual","invasive",NA,NA,"MAOC","F1","MAOC","g C m-2","0-10",184.259259259259,16.6667,8,184.259259259259,8.3333,8,0,"0-10"
"R50","Grass invasion of a hardwood forest is associated with declines in belowground carbon pools","33.5327","83.2193","field","forest","Acerrubrum,Quercusnigra,Platanusoccidentalis,andLiquidambarstyraciflua","n/a","n/a","M.vimineum","Poaceae","annual","invasive",NA,NA,"MAOC","T2","MAOC","mg g-1 dry wt soil-1","0-10",13.75,5.90327028010746,6,11.25,5.97675497239095,6,-0.200670695,"0-10"
"R4","Assessing the effects of short-term Spartina alterniflora invasion on labile andrecalcitrant C and N pools by means of soil fractiotion and stable C and N isotopes","31.3-31.17","121.46-122.15","field","wetland","S.mariqueter","Cyperaceae","perennial","S.alterniflora","Poaceae","perennial","invasive",15.7,1145,"ROC","F1","LC","mg/g","0-5",0.962461132245904,0.13732,6,2.19745222929936,0.222929936,6,0.829279355,"0-5"
"R4","Assessing the effects of short-term Spartina alterniflora invasion on labile andrecalcitrant C and N pools by means of soil fractiotion and stable C and N isotopes","31.3-31.17","121.46-122.15","field","wetland","S.mariqueter","Cyperaceae","perennial","S.alterniflora","Poaceae","perennial","invasive",15.7,1145,"ROC","F1","LC","mg/g","5-20",1.15270901731895,0.092487,6,2.21337579617834,0.23089172,6,0.653230573,"5-20"
"R4","Assessing the effects of short-term Spartina alterniflora invasion on labile andrecalcitrant C and N pools by means of soil fractiotion and stable C and N isotopes","31.3-31.17","121.46-122.15","field","wetland","S.mariqueter","Cyperaceae","perennial","S.alterniflora","Poaceae","perennial","invasive",15.7,1145,"ROC","F1","LC","mg/g","20-40",1.7534003856376,0.099285,6,2.25318471337579,0.191082803,6,0.251314428,"20-40"
"R4","Assessing the effects of short-term Spartina alterniflora invasion on labile andrecalcitrant C and N pools by means of soil fractiotion and stable C and N isotopes","31.3-31.17","121.46-122.15","field","wetland","S.mariqueter","Cyperaceae","perennial","S.alterniflora","Poaceae","perennial","invasive",15.7,1145,"ROC","F1","LC","mg/g","40-60",1.23423141730505,0.119852,6,1.82324840764331,0.127388535,6,0.391822332,"40-60"
"R4","Assessing the effects of short-term Spartina alterniflora invasion on labile andrecalcitrant C and N pools by means of soil fractiotion and stable C and N isotopes","31.3-31.17","121.46-122.15","field","wetland","S.mariqueter","Cyperaceae","perennial","S.alterniflora","Poaceae","perennial","invasive",15.7,1145,"ROC","F1","LC","mg/g","60-80",1.1645560824778,0.004581,6,1.61624203821656,0.119426752,6,0.334006144,"60-80"
